"","x.cent","xs.disp","ys.cent","ys.disp","max.width","min.width","ss.max.width","ss.min.width","height"
"acerifolium",0.142753035576775,0.00585020138483337,0.139331159974651,0.00117079042039237,-0.691449171448508,-0.938637497506308,-1.26993280145369,-1.51555805594694,NA
"anabaptista",0.636939219485084,0.172964796128359,0.430641755168646,0.427980584516144,0.126919717020399,-0.81228893695562,-1.57098585726488,-1.79817501661791,-0.952508123239647
"annamensis",0.412285572854425,0.189661692234238,0.287470622262408,0.0519753559300178,-0.678031051571299,-0.967041191585952,-1.23687693128499,-1.67919616368272,NA
"ayavacense",0.277643786780897,0.0574209642026998,0.165264769452479,0.00417772859006171,-0.218509828047354,-0.972336281669013,-1.36877463704932,-1.59648236490145,-2.53489194321893
"beccarii",0.159416523384424,0.00597671587862413,0.18817817023637,0.0025090637817921,0.211335595352833,-0.0694121313632394,-0.229349479519562,-0.653050493010166,NA
"betulifolium",0.358586845330888,0.120008603388149,0.249662514014714,0.03526851721598,-0.271135055466611,-0.511539771080558,-0.808394268561858,-1.1164536195481,NA
"bracteatum",0.463250553643625,0.296419593702089,0.159515785413349,0.0319680225612036,0.104783342204548,NA,-1.24308418480017,NA,-1.40808418110924
"caudatum",0.425509732985791,0.326691409647285,0.222747676367088,0.0618803178461071,-0.357303252807208,-1.59795722570063,-1.18299438811074,-1.54318582687854,-0.762426265291134
"ciliatum",0.343005966283378,0.0612006433601587,0.155048946256068,0.00442995943396456,-1.05073655133339,-1.59111341536474,-1.60766736752785,-1.97343854042813,-1.79844923568748
"cinnamomifolium",0.269733171430881,0.260198584386353,0.171895437306275,0.0191304079528588,0.343684139654903,-0.898835728106438,-0.0614338819646018,-1.58329010581186,-1.33472734167137
"coriaceum",0.304661007863671,0.070389559530682,0.206662348912436,0.00737401944663418,-0.278619426616632,-0.629001449925188,-0.550999714830075,-0.997779354450045,NA
"corylifolium",0.339615679890589,0.0538523611959651,0.163205768088537,0.00384254214394841,-0.61582863747169,-0.724151292971678,-1.1277185922189,-1.28003421111139,NA
"costaricanum",0.566782943140205,0.359958771254305,0.28035182144046,0.0911269189714467,-0.499956175888668,-1.05625138135914,-1.16754392850331,-1.573122119178,-2.46544870798028
"cylindricum",0.380268828375402,0.282396536349707,0.256938454941596,0.0584243133217448,-0.794402021744336,-1.09602462362398,-1.12190104569823,-1.43752811557149,NA
"davidii",0.570191400882996,0.839476010036196,0.296130056771507,0.100193272325811,0.0690930432213083,-0.924806758077237,-0.931758613986324,-1.81881130726182,NA
"dentatum",0.60945441912147,0.248810635854979,0.266260814978858,0.0743874347089583,0.0426907858852675,-0.964185460324856,-1.01359880700257,-1.37028073572863,-0.937383493787488
"dilatatum",0.325870409216803,0.138225108108918,0.173601337760808,0.0107297147408209,-0.376491004864193,-0.630145379041132,-0.870496485429417,-1.13390491742409,NA
"discolor",0.491229008726552,0.405408452581516,0.262076092121425,0.233466239559607,-0.51774325306226,-1.50856509722167,-1.41418250751692,-1.78054036256901,-0.983687426411833
"divaricatum",0.64018668338178,0.246259915008118,0.368935870978361,0.17136297911598,-0.460803698962332,-1.03101304766182,-1.31529119992644,-1.58682759863802,-2.23283651405571
"edule",0.160298506836278,0.0400173926497139,0.147230007990339,0.00148834815536589,-0.315584062344869,-1.32274586618809,-1.12769510689885,-1.72487900797801,-0.504352185413287
"erosum",0.497554055222178,0.226601002146568,0.255421245502797,0.0486032259954245,-0.541814702593477,-0.785030922695766,-1.12476831778574,-1.42720476036142,NA
"foetidum",0.451435309914886,0.105595392297947,0.264615561646449,0.0429125951635642,-0.815320048985132,-1.05497193720751,-1.38093373018498,-1.6701761566628,NA
"formosanum",0.425282252026004,0.142783743109243,0.219859961917883,0.0224898993533247,-0.658535574913622,-0.883630703959562,-1.20556492710689,-1.45281080339744,NA
"glabratum",0.610119000603319,0.459232127517449,0.313063803701355,0.160724554621394,-0.41173614426778,-1.0300998702089,-1.27959689329167,-1.62164895250653,-2.67330825463422
"hallii",0.474406414402146,0.199197487762431,0.220788314888584,0.0312609118836872,-0.344947465346118,-1.06834172528815,-1.21510227071768,-1.52769774523978,-2.40511290091389
"hartwegii",0.401245204025544,0.263733220696165,0.20055211752055,0.0225179517890309,-0.789420009701494,-1.01335008418117,-1.21702238487976,-1.4907325089619,-2.27116465338154
"hengshanicum",0.346525946939959,0.0810987942131183,0.172325837047063,0.00330072679081417,-0.58231457204098,-0.945464846656398,-0.864661423911332,-1.26052462288367,NA
"hispidulum",0.309824994654261,0.267128972553169,0.488310060597065,0.297312626842633,0.241634117560921,-0.206991917737078,-0.0542363196442118,-0.54254449058401,NA
"inopinatum",0.394790243814376,0.364526206208332,0.397987139051308,0.288292684949675,-0.0108017244741733,-0.25440736555701,-0.500715820527574,-0.77478464142027,NA
"integrifolium",0.240269817678007,0.111749218274599,0.256910076738453,0.0217321283184914,-0.401909744458047,-0.789833789780807,-0.770061911968702,-1.26321014382167,NA
"jamesonii",0.703362780891099,0.359167885619392,0.503773595889467,0.371821000497337,-0.0698793719275186,-0.935668959475572,-1.21336182765686,-1.54847282616788,-1.91177656878275
"japonicum",0.434270179213883,0.157747579018035,0.319055224834234,0.0231673066991836,0.105166967212713,-0.235266433407239,-0.552327568883474,-0.947955176263997,NA
"lasiophyllum",0.744248286871028,0.380652841869274,0.47040902372414,0.286177656429781,0.134190560309683,-0.766559050700396,-1.35350750604152,-1.62193078933767,-1.15342766207709
"leiocarpum",0.39427957581003,0.294197997433829,0.489365412953983,0.582488690832081,-0.0439436672530502,-0.26772256489347,-0.626316342610888,-0.82412170522209,NA
"lobophyllum",0.205204254651302,0.0363126799248051,0.161365781490909,0.0028335452698077,-0.497169616800878,-0.740314545033419,-0.968575232014215,-1.19200047235831,NA
"luzonicum",0.360324839528461,0.0974649325798659,0.212668996210521,0.00514672543243669,-0.0674975356188117,-0.361717089581478,-0.431781698937483,-0.784107935986007,NA
"melanocarpum",0.23079103561592,0.0241599098351476,0.143605769073779,0.00171318899213584,-0.382599016077152,-0.552460380311712,-0.722362626922588,-0.949766313980722,NA
"microcarpum",0.297787115900086,0.125849472054468,0.137418932116235,0.00527183744134493,-0.384055659160802,-1.20011407020165,-1.24432471375167,-1.70365723013721,-1.00563484860421
"molle",0.458440398227618,0.207579364214269,0.0858191125457384,0.0593954704454675,-0.204092022796151,-1.31634589343233,-1.26549534354148,-1.40364886742958,-1.49658983370601
"mullaha",0.441294692148008,0.17273392265456,0.224302014917347,0.0573177375457777,-0.179866977397518,-0.506002715116961,-0.667150645823148,-0.9915350692244,NA
"opulus",0.0954304317790631,0.00327552391788993,0.103619869400201,0.0103390656128789,0.0701762492648511,-0.378290389117391,-0.419365584025805,-1.1347968651629,-1.08069664907136
"rafinesquianum",0.339645788662454,0.0946853554727288,0.161627808926631,0.00475295013010308,-0.448351066666395,-1.66131233783355,-1.45950551387127,-1.53375379193231,-1.17977946341602
